,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
43,"frozenset({'LIQUOR', 'KEGS'})","frozenset({'NON-ALCOHOL', 'BEER'})",0.02178649237472767,0.023965141612200435,0.010893246187363835,0.5,20.863636363636363,0.010371129812370362,1.9520697167755992,0.9732739420935412
48,"frozenset({'NON-ALCOHOL', 'BEER'})","frozenset({'LIQUOR', 'KEGS'})",0.023965141612200435,0.02178649237472767,0.010893246187363835,0.4545454545454546,20.863636363636363,0.010371129812370362,1.7933914306463328,0.9754464285714286
56,"frozenset({'WINE', 'KEGS'})","frozenset({'LIQUOR', 'BEER'})",0.0196078431372549,0.06100217864923747,0.015250544662309368,0.7777777777777778,12.75,0.01405442351232432,4.2254901960784315,0.9400000000000001
57,"frozenset({'LIQUOR', 'BEER'})","frozenset({'WINE', 'KEGS'})",0.06100217864923747,0.0196078431372549,0.015250544662309368,0.25,12.75,0.01405442351232432,1.3071895424836601,0.9814385150812065
66,"frozenset({'LIQUOR', 'BEER'})","frozenset({'NON-ALCOHOL', 'WINE'})",0.06100217864923747,0.023965141612200435,0.015250544662309368,0.25,10.431818181818182,0.013788618812327642,1.3013798111837327,0.962877030162413
69,"frozenset({'NON-ALCOHOL', 'WINE'})","frozenset({'LIQUOR', 'BEER'})",0.023965141612200435,0.06100217864923747,0.015250544662309368,0.6363636363636364,10.431818181818182,0.013788618812327642,2.582244008714597,0.9263392857142857
47,"frozenset({'LIQUOR', 'BEER'})","frozenset({'NON-ALCOHOL', 'KEGS'})",0.06100217864923747,0.017429193899782137,0.010893246187363835,0.17857142857142858,10.245535714285714,0.009830027387377125,1.1961731552524393,0.9610208816705336
44,"frozenset({'NON-ALCOHOL', 'KEGS'})","frozenset({'LIQUOR', 'BEER'})",0.017429193899782137,0.06100217864923747,0.010893246187363835,0.625,10.245535714285714,0.009830027387377125,2.5039941902687,0.9184035476718403
55,"frozenset({'LIQUOR', 'KEGS'})","frozenset({'WINE', 'BEER'})",0.02178649237472767,0.0718954248366013,0.015250544662309368,0.7,9.736363636363636,0.013684195537328948,3.093681917211329,0.9172764874323894
58,"frozenset({'WINE', 'BEER'})","frozenset({'LIQUOR', 'KEGS'})",0.0718954248366013,0.02178649237472767,0.015250544662309368,0.21212121212121213,9.736363636363636,0.013684195537328948,1.2415786827551534,0.9668008048289738
50,frozenset({'NON-ALCOHOL'}),"frozenset({'BEER', 'LIQUOR', 'KEGS'})",0.05337690631808279,0.02178649237472767,0.010893246187363835,0.20408163265306123,9.36734693877551,0.009730350624878372,1.2290374839394447,0.9436133486766399
31,"frozenset({'LIQUOR', 'KEGS'})",frozenset({'NON-ALCOHOL'}),0.02178649237472767,0.05337690631808279,0.010893246187363835,0.5,9.36734693877551,0.009730350624878372,1.8932461873638344,0.9131403118040089
32,frozenset({'NON-ALCOHOL'}),"frozenset({'LIQUOR', 'KEGS'})",0.05337690631808279,0.02178649237472767,0.010893246187363835,0.20408163265306123,9.36734693877551,0.009730350624878372,1.2290374839394447,0.9436133486766399
41,"frozenset({'BEER', 'LIQUOR', 'KEGS'})",frozenset({'NON-ALCOHOL'}),0.02178649237472767,0.05337690631808279,0.010893246187363835,0.5,9.36734693877551,0.009730350624878372,1.8932461873638344,0.9131403118040089
70,"frozenset({'WINE', 'BEER'})","frozenset({'LIQUOR', 'NON-ALCOHOL'})",0.0718954248366013,0.03159041394335512,0.015250544662309368,0.21212121212121213,6.714733542319749,0.01297933843108776,1.2291352438411263,0.9170020120724346
65,"frozenset({'LIQUOR', 'NON-ALCOHOL'})","frozenset({'WINE', 'BEER'})",0.03159041394335512,0.0718954248366013,0.015250544662309368,0.48275862068965514,6.714733542319749,0.01297933843108776,1.7943355119825708,0.8788365739996787
22,frozenset({'NON-ALCOHOL'}),"frozenset({'LIQUOR', 'BEER'})",0.05337690631808279,0.06100217864923747,0.017429193899782137,0.326530612244898,5.352769679300292,0.014173086324822838,1.394269492308708,0.8590333716915995
19,"frozenset({'LIQUOR', 'BEER'})",frozenset({'NON-ALCOHOL'}),0.06100217864923747,0.05337690631808279,0.017429193899782137,0.28571428571428575,5.352769679300292,0.014173086324822838,1.3252723311546843,0.8660092807424594
72,frozenset({'NON-ALCOHOL'}),"frozenset({'LIQUOR', 'BEER', 'WINE'})",0.05337690631808279,0.05337690631808279,0.015250544662309368,0.2857142857142857,5.352769679300291,0.012401450534219982,1.3252723311546841,0.8590333716915995
63,"frozenset({'LIQUOR', 'BEER', 'WINE'})",frozenset({'NON-ALCOHOL'}),0.05337690631808279,0.05337690631808279,0.015250544662309368,0.2857142857142857,5.352769679300291,0.012401450534219982,1.3252723311546841,0.8590333716915995
10,"frozenset({'NON-ALCOHOL', 'BEER'})",frozenset({'KEGS'}),0.023965141612200435,0.13616557734204793,0.017429193899782137,0.7272727272727274,5.34109090909091,0.014165966556072928,3.167392883079159,0.8327287946428572
11,frozenset({'KEGS'}),"frozenset({'NON-ALCOHOL', 'BEER'})",0.13616557734204793,0.023965141612200435,0.017429193899782137,0.128,5.3410909090909096,0.014165966556072928,1.119306030261238,0.9408890290037832
49,frozenset({'KEGS'}),"frozenset({'LIQUOR', 'NON-ALCOHOL', 'BEER'})",0.13616557734204793,0.017429193899782137,0.010893246187363835,0.08,4.59,0.0085199899373935,1.0680117457611062,0.905422446406053
42,"frozenset({'LIQUOR', 'NON-ALCOHOL', 'BEER'})",frozenset({'KEGS'}),0.017429193899782137,0.13616557734204793,0.010893246187363835,0.625,4.59,0.0085199899373935,2.3035584604212054,0.7960088691796008
